revision,source_id,sheet,label_cell,note_cell,amount_cell,category,item,amount_per_quoted_unit,currency,currency_basis,quantity,quantity_basis,selection_rule,tax_basis,notes
original,B1,Sheet1,B9,B10,B11,material,Ceramic shell,25,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,
original,B1,Sheet1,C9,C10,C11,assembly,Main board,125,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Nordic52840; FLASH64MB
original,B1,Sheet1,D9,D10,D11,process,Assembly test and aging,5,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,
original,B1,Sheet1,E9,E10,E11,process,Potting/adhesive sealing,25,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Color matching excluded
original,B1,Sheet1,F9,F10,F11,material_group,Auxiliary materials,1,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,
original,B1,Sheet1,G9,G10,G11,battery_option,Juwei battery,10,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",mutually exclusive battery option,ex tax; source says add12%,Select Juwei OR Grepow
original,B1,Sheet1,H9,H10,H11,battery_option,Grepow battery,30,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",mutually exclusive battery option,ex tax; source says add12%,Select Juwei OR Grepow
original,B1,Sheet1,I9,I10,I11,allowance,Loss,19,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Estimated10%; use stated rounded allowance
original,B1,Sheet1,J9,J10,J11,assembly_optional,Charging case,18,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",case optional,ex tax; source says add12%,"Standard model, optional"
updated,B2,Sheet1,B9,B10,B11,material,Ceramic shell,25,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,
updated,B2,Sheet1,C9,C10,C11,assembly,Main board,85,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Nordic52840; FLASH16MB
updated,B2,Sheet1,D9,D10,D11,process,Assembly test and aging,5,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,
updated,B2,Sheet1,E9,E10,E11,process,Potting/adhesive sealing,25,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Color matching excluded
updated,B2,Sheet1,F9,F10,F11,material_group,Auxiliary materials,1,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,
updated,B2,Sheet1,G9,G10,G11,battery_option,Grepow battery,30,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Only battery option shown
updated,B2,Sheet1,H9,H10,H11,allowance,Loss,17,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Estimated10%; use stated rounded allowance
updated,B2,Sheet1,I9,I10,I11,assembly,Charging case,15,CNY,Original number format uses ¥; B3 and P1 explicitly identify RMB,,"Source has per-unit costs, not component quantities",included in configured total,ex tax; source says add12%,Standard small cylindrical model
