item_id,parent_id,category,item,manufacturer,part_number,quantity,quantity_unit,quantity_basis,variant,evidence_status,specification,cost_treatment,sources,open_details
R01,RING,assembly,Flexible ring PCBA,Bravechip,BCL603MHV1.23.2,1,assembly,One functional PCBA; quote covers one ring,All current sizes,specified;quoted;CAD,52 x 6.5 mm; 4 layers; double-sided; touch area 18.5 x 5.9 mm,Quoted main-board assembly includes fitted components,"D1 pp1,4,7; B2 C9:C11; M1",Full component-level BOM and fabrication stack
R02,R01,SiP,Processor/radio/power SiP,Bravechip,BCL603S2P,1,device,Singular manufacturer listing; no refdes BOM,All current sizes,specified,LGA34 4 x 6.8 mm; package ground separately numbered35,Included within R01,"D1 p4; D3 pp1,5-7",Internal die/part procurement breakdown
R03,R02,MCU,MCU and Bluetooth radio,Nordic Semiconductor,nRF52840,1,integrated device,Contained inside SiP; not additional external MCU,All current sizes,specified;source,64 MHz Cortex-M4F; internal1MB flash;256KB RAM,Included within R02; never add standalone MCU cost,D1 p4; D3; E1; SW2,Exact SiP internal ordering/die revision
R04,R01,sensor,Capacitive touch/proximity controller,Azoteq,IQS7211E,1,device,Singular datasheet listing,All current sizes,specified;source,I2C; touch/proximity/trackpad;18.5x5.9mm board electrode area;source address literal0x56,Included within R01,D1 p4; E2; SW2,Package and order suffix; electrode layout
R05,R01,sensor,Digital MEMS microphone,STMicroelectronics,MP23DB01HP; manufacturer order code MP23DB01HPTR,1,device,Singular datasheet listing; suffix not confirmed fitted,All current sizes,specified;source,PDM;bottom port;RHLGA5;3.5x2.65x0.98mm;1.23.2 source: mono PDM CLK P0.04/DIN P0.21,Included within R01,D1 p4; E3 pp1-2; E3P; SW2,Exact fitted code; lifecycle/procurement; acoustic membrane
R06,R01,sensor,Six-axis motion IMU,STMicroelectronics,LSM6DSOW (literal factory text); LGA-14P,1,device,Singular datasheet listing,All current sizes,specified;source,LSM6DSO family accelerometer+gyroscope;source address0x6A<<1 (driver convention),Included within R01,D1 p4; E4; SW2,Exact W/order-code reconciliation
R07,R01,memory,External recording NOR flash,GigaDevice,GD25WQ128HQIGR,1,device,Singular datasheet listing,16MB quoted/current module,specified;quoted;source,128Mbit=16MiB raw; SPI NOR; family supports single/dual/quad;SFUD256-byte pages/4KiB erase,Included within R01,D1 p4; E5; B2 C10; SW2,Order suffix/package and usable filesystem capacity
R08,RING,actuator,Haptic motor,,LBM0518A4107F; CAD BREP_0518,1,actuator,One CAD motor per main assembly,Current0518 baseline,specified;CAD;source,0518; manufacturer calls it linear; CAD38.6843mm3;source PWM control,Unallocated within commercial assembly quote; do not invent individual price,D1 pp4-5; M1-M5; SW2,Manufacturer; drive waveform; driver parts; fitted equivalence
R09,RING,battery_selection,Curved LiPo battery,Grepow,Select BAT10/BAT11/BAT12,1,cell,Choose exactly one variant for ring size,Current sizes10-12,quoted;CAD,Curved LiPo; exact electrical ratings not supplied,B2 battery line30RMB for chosen variant; do not add variant rows again,B2 G9:G11; M1-M3,Rated/min capacity; max charge voltage; tolerances; protection
BAT10,R09,battery_variant,Size-specific curved cell,Grepow,GRE170722_10,1,cell,"Alternative variant, selected only for this size",US10,CAD,CAD volume 258.3936mm3; inferred code dimensions1.7x7x22mm are not approved specs,Included in R09 selected-cell cost,M1-M3; M6,Manufacturer datasheet and signed size-specific drawing
BAT11,R09,battery_variant,Size-specific curved cell,Grepow,GRE170724,1,cell,"Alternative variant, selected only for this size",US11,CAD,CAD volume 281.497mm3; inferred code dimensions1.7x7x24mm are not approved specs,Included in R09 selected-cell cost,M1-M3; M6,Manufacturer datasheet and signed size-specific drawing
BAT12,R09,battery_variant,Size-specific curved cell,Grepow,GRE170726,1,cell,"Alternative variant, selected only for this size",US12,CAD,CAD volume 304.5277mm3; inferred code dimensions1.7x7x26mm are not approved specs,Included in R09 selected-cell cost,M1-M3; M6,Manufacturer datasheet and signed size-specific drawing
R10,R01,power_and_clock_group,"Power management, regulation, clock and SiP support",,YHM2712 selected in source; exact package and SiP boundary unconfirmed,,group,SiP integrated functions; selected PMIC driver does not establish extra physical quantity,All current sizes,specified;source,PMIC type2;ID0xA0;YHM2710_* function names;SiP PMIC/LDO/crystal/passives;source external LF XTAL selection,Included functions; do not separately double count PMIC,"D3 pp1,5; SW2",Orderable PMIC/package; internal versus board allocation; regulator and clock part IDs; charge register interpretation
R11,R01,board_support,"External passives, motor drive, sensing and protection",,Unspecified,,group,Not disclosed by assembly-level BOM,All current sizes,unspecified;source,Source battery ADC assumes2Mohm/1Mohm divider; physical refdes/value confirmation and motor-drive schematic remain missing,Included in quoted board/assembly where fitted; allocation unknown,D1; B2; SW2,Values; quantities; refdes; ratings
R12,RING,RF,Antenna and matching,,Unspecified,,set,Functional RF path; topology/count unverified,All current sizes,unspecified,SiP ANT pin; antenna geometry and matching unknown,No individual price provided,D3 p6,Antenna artwork; matching BOM; RF tuning
R13,RING,indicator,Ring LEDs and optical path,,Unspecified,,set,Historical behavior requirements do not prove fitted count,Current assembly pending,historical;unspecified,PRD red/green/white indications; present parts unknown,No individual price provided,H4; H5,Current LED MPN/count; light guide; seal
R14,RING,enclosure,Ceramic outer shell/dome,,Size-specific custom zirconia ceramic,1,shell,One outer-shell CAD solid per ring,US10/11/12,specified;quoted;CAD,Grey matte metal-like finish and antifingerprint per later PO; grade unspecified,B2 shell25RMB; finishing coverage needs confirmation,D1; M1-M3; P1 F10/B35; H4; V1,Grade; coating; texture/color tolerance; released CAD
